Code,Rate
AED,3.672725
AFN,47.43018
ALL,101.465681
AMD,381.648104
ANG,1.791
AOA,90.2803
ARS,3.859546
AUD,1.10994
AWG,1.79025
AZN,0.802703
BAM,1.43133
BBD,2
BDT,69.197611
BGN,1.424898
BHD,0.37655
BIF,1130.647393
BMD,1
BND,1.406394
BOB,6.974793
BRL,1.833556
BSD,1
BTN,46.120727
BWP,6.887048
BYR,2907.023616
BZD,1.9875
CAD,1.044221
CDF,900.311078
CHF,1.074443
CLP,528.121453
CNY,6.833626
COP,1925.011153
CRC,549.677979
CVE,80.330759
CZK,18.891308
DJF,177.721
DKK,5.444842
DOP,36.214734
DZD,72.966434
EEK,11.401985
EGP,5.489632
ETB,10.815256
EUR,0.733584
FJD,1.9293
FKP,0.635423
GBP,0.635786
GEL,1.729386
GHS,1.431
GIP,0.633105
GMD,26.408942
GNF,5001.712488
GTQ,8.182582
GYD,203.840178
HKD,7.768052
HNL,18.92
HRK,5.324299
HTG,40.013661
HUF,197.983753
IDR,9275.826646
IEP,0.685828
ILS,3.735709
INR,46.081968
IQD,1166.253162
IRR,9878.531692
ISK,127.450894
JMD,88.878035
JOD,0.708625
JPY,90.957615
KES,77.035791
KGS,44.788006
KHR,4183.876351
KMF,358.420516
KPW,143.120865
KRW,1143.15588
KWD,0.288609
KZT,147.887355
LAK,8473.862669
LBP,1502.597882
LKR,114.260146
LRD,71.020619
LSL,7.613227
LTL,2.515518
LVL,0.514354
LYD,1.253831
MAD,8.180551
MDL,12.840419
MGA,2149.996714
MKD,44.706688
MMK,6.51
MNT,1440.420705
MOP,8.007162
MRO,258.662636
MUR,30.356381
MVR,12.8
MWK,149.796697
MXN,12.851605
MYR,3.389751
MZN,29.28003
NAD,7.601477
NGN,150.823297
NIO,19.380978
NOK,5.858923
NPR,71.595568
NZD,1.418389
OMR,0.384497
PAB,1
PEN,3.004574
PGK,2.710762
PHP,45.998759
PKR,84.713657
PLN,2.897421
PYG,4675.676625
QAR,3.64
RON,3.006272
RSD,71.261679
RUB,30.083734
RWF,571.682861
SAR,3.750025
SBD,7.727518
SCR,11.433957
SDG,2.230301
SEK,7.180362
SGD,1.405067
SHP,0.635423
SLL,3880.561384
SOS,1495.999352
SRD,2.709999
STD,18135.433229
SVC,8.751773
SYP,46.000015
SZL,7.613425
THB,33.150846
TJS,4.366899
TND,1.37951
TOP,1.942782
TRY,1.507207
TTD,6.26025
TWD,32.061695
TZS,1345.003388
UAH,8.025061
UGX,2016.099112
USD,1
UYU,19.599987
UZS,1545.228034
VEF,4.29465
VND,18550.00255
VUV,97.624896
WST,2.590998
XAF,491.996894
XCD,2.608551
XDR,0.649375
XOF,478.846884
XPF,87.056719
YER,204.509991
ZAR,7.594292
ZMK,4684.999851
ZWD,15180.700089
