Code,Rate
AED,3.672795
AFN,47.430116
ALL,101.15829
AMD,378.293082
ANG,1.791
AOA,89.97996
ARS,3.840002
AUD,1.153352
AWG,1.79025
AZN,0.802898
BAM,1.430887
BBD,2
BDT,69.081594
BGN,1.430212
BHD,0.3765
BIF,1137.410105
BMD,1
BND,1.419388
BOB,7.023214
BRL,1.871493
BSD,1
BTN,46.826427
BWP,6.947625
BYR,2899.663097
BZD,1.9875
CAD,1.0714
CDF,900.12287
CHF,1.071577
CLP,540.955218
CNY,6.827179
COP,2007.482136
CRC,551.001272
CVE,80.630347
CZK,19.126192
DJF,177.721
DKK,5.44128
DOP,36.308464
DZD,73.34415
EEK,11.39896
EGP,5.488001
ETB,10.812642
EUR,0.731406
FJD,1.966843
FKP,0.641329
GBP,0.640457
GEL,1.713368
GHS,1.434749
GIP,0.640658
GMD,26.278531
GNF,5023.190615
GTQ,8.252144
GYD,205.756769
HKD,7.770487
HNL,18.9225
HRK,5.352097
HTG,40.255553
HUF,200.079769
IDR,9412.472196
IEP,0.686898
ILS,3.728866
INR,46.806534
IQD,1165.486568
IRR,9897.864205
ISK,128.936705
JMD,89.127117
JOD,0.708625
JPY,89.284123
KES,77.000596
KGS,44.487223
KHR,4169.148512
KMF,359.757221
KPW,143.082515
KRW,1169.533146
KWD,0.28823
KZT,148.003305
LAK,8482.336892
LBP,1505.709553
LKR,114.661205
LRD,71.019557
LSL,7.756985
LTL,2.524899
LVL,0.516126
LYD,1.256147
MAD,8.203792
MDL,12.769261
MGA,2129.997214
MKD,44.873419
MMK,6.51
MNT,1452.532797
MOP,8.008111
MRO,259.377747
MUR,30.355328
MVR,12.8
MWK,147.001613
MXN,13.168979
MYR,3.44052
MZN,29.279947
NAD,7.599088
NGN,151.576741
NIO,19.360038
NOK,5.965059
NPR,72.375914
NZD,1.458855
OMR,0.384497
PAB,1
PEN,3.004574
PGK,2.687626
PHP,46.563959
PKR,84.979472
PLN,3.001097
PYG,4672.54871
QAR,3.64
RON,3.023772
RSD,72.145386
RUB,30.612383
RWF,572.505953
SAR,3.750025
SBD,7.74008
SCR,11.314555
SDG,2.231097
SEK,7.422916
SGD,1.422318
SHP,0.641329
SLL,3908.792147
SOS,1500.02925
SRD,2.714992
STD,16692.331956
SVC,8.749948
SYP,45.950953
SZL,7.756338
THB,33.184969
TJS,4.367392
TND,1.381332
TOP,1.901246
TRY,1.52389
TTD,6.31525
TWD,32.156817
TZS,1347.527166
UAH,8.086977
UGX,1979.019532
USD,1
UYU,19.499975
UZS,1530.471664
VEF,4.29465
VND,18469.961755
VUV,98.467245
WST,2.565467
XAF,492.888031
XCD,2.570578
XDR,0.650053
XOF,478.088026
XPF,87.693835
YER,205.24966
ZAR,7.745897
ZMK,4655.994103
ZWD,15180.69949
