Code,Rate
AED,3.672705
AFN,47.430278
ALL,101.767769
AMD,381.015895
ANG,1.791
AOA,90.26654
ARS,3.849217
AUD,1.124724
AWG,1.79025
AZN,0.802803
BAM,1.43771
BBD,2
BDT,69.117118
BGN,1.437359
BHD,0.3765
BIF,1135.561784
BMD,1
BND,1.411266
BOB,7.019202
BRL,1.858996
BSD,1
BTN,46.309736
BWP,6.940166
BYR,2899.58708
BZD,1.9875
CAD,1.048521
CDF,899.947454
CHF,1.077105
CLP,529.0009
CNY,6.834146
COP,1938.358526
CRC,545.937961
CVE,81.033292
CZK,19.101952
DJF,177.721
DKK,5.46782
DOP,36.33968
DZD,72.830683
EEK,11.543386
EGP,5.488434
ETB,10.810176
EUR,0.73487
FJD,1.942599
FKP,0.637287
GBP,0.637796
GEL,1.707004
GHS,1.438753
GIP,0.637613
GMD,26.798481
GNF,5024.713673
GTQ,8.166042
GYD,206.17665
HKD,7.770442
HNL,18.92
HRK,5.37069
HTG,40.247725
HUF,199.421611
IDR,9348.945732
IEP,0.688337
ILS,3.750744
INR,46.354761
IQD,1165.041641
IRR,9884.914934
ISK,128.698457
JMD,89.179107
JOD,0.708625
JPY,89.958876
KES,77.099151
KGS,44.772225
KHR,4159.527324
KMF,361.555082
KPW,143.077081
KRW,1157.018122
KWD,0.289498
KZT,147.972838
LAK,8489.855001
LBP,1499.988292
LKR,114.420512
LRD,70.998773
LSL,7.678185
LTL,2.537517
LVL,0.518595
LYD,1.25548
MAD,8.239849
MDL,12.785041
MGA,2160.00499
MKD,45.09767
MMK,6.51
MNT,1442.52886
MOP,8.008164
MRO,257.247765
MUR,30.674729
MVR,12.8
MWK,151.273657
MXN,12.938498
MYR,3.425777
MZN,29.650051
NAD,7.666435
NGN,151.198648
NIO,19.344262
NOK,5.915308
NPR,71.974216
NZD,1.433482
OMR,0.384497
PAB,1
PEN,3.004574
PGK,2.704971
PHP,46.29362
PKR,84.82285
PLN,2.95201
PYG,4682.461932
QAR,3.64
RON,3.025535
RSD,71.933979
RUB,30.132159
RWF,573.495076
SAR,3.74988
SBD,7.727475
SCR,11.400845
SDG,2.230502
SEK,7.255997
SGD,1.411345
SHP,0.637287
SLL,3902.465827
SOS,1500.003667
SRD,2.715007
STD,18023.782318
SVC,8.748259
SYP,45.900115
SZL,7.680869
THB,33.203884
TJS,4.36691
TND,1.390007
TOP,1.901227
TRY,1.516527
TTD,6.26025
TWD,32.11323
TZS,1353.505732
UAH,8.015021
UGX,2011.001121
USD,1
UYU,19.850043
UZS,1533.548909
VEF,4.3
VND,18705.049313
VUV,96.975241
WST,2.568278
XAF,494.086604
XCD,2.574819
XDR,0.652411
XOF,480.936594
XPF,87.511879
YER,204.500183
ZAR,7.71447
ZMK,4682.507438
ZWD,15180.700491
