Code,Rate
AED,3.673
AFN,47.431234
ALL,99.95814
AMD,375.816796
ANG,1.791
AOA,89.940883
ARS,3.83632
AUD,1.131206
AWG,1.79025
AZN,0.805117
BAM,1.403793
BBD,2
BDT,68.94767
BGN,1.403326
BHD,0.37655
BIF,1137.107404
BMD,1
BND,1.409727
BOB,7.019758
BRL,1.838264
BSD,1
BTN,46.138421
BWP,6.774834
BYR,2887.199509
BZD,1.9875
CAD,1.059453
CDF,900.012912
CHF,1.055924
CLP,527.989788
CNY,6.827634
COP,1972.857383
CRC,554.516235
CVE,79.114587
CZK,18.64543
DJF,177.721
DKK,5.337673
DOP,36.149061
DZD,72.596929
EEK,11.268131
EGP,5.470124
ETB,10.811061
EUR,0.716495
FJD,1.95261
FKP,0.626424
GBP,0.626367
GEL,1.730353
GHS,1.430015
GIP,0.626928
GMD,26.225392
GNF,5037.572997
GTQ,8.301136
GYD,205.456072
HKD,7.767659
HNL,18.9225
HRK,5.248854
HTG,40.250587
HUF,194.135692
IDR,9352.142325
IEP,0.681485
ILS,3.70547
INR,46.141241
IQD,1156.79035
IRR,9901.645046
ISK,127.405909
JMD,89.216323
JOD,0.708375
JPY,90.476744
KES,76.090417
KGS,44.30531
KHR,4154.857731
KMF,352.994188
KPW,143.079649
KRW,1159.275677
KWD,0.288305
KZT,147.87927
LAK,8475.248547
LBP,1505.521653
LKR,114.660026
LRD,71.502088
LSL,7.490896
LTL,2.477434
LVL,0.506388
LYD,1.24684
MAD,8.076239
MDL,12.809034
MGA,2120.047923
MKD,44.029849
MMK,6.51
MNT,1452.498816
MOP,8.006784
MRO,260.378806
MUR,30.090436
MVR,12.8
MWK,147.001977
MXN,12.872577
MYR,3.416755
MZN,29.900707
NAD,7.476507
NGN,151.225075
NIO,19.350685
NOK,5.843137
NPR,71.324859
NZD,1.407875
OMR,0.384497
PAB,1
PEN,3.004574
PGK,2.692265
PHP,46.370441
PKR,84.979365
PLN,2.864103
PYG,4774.999713
QAR,3.64
RON,2.933834
RSD,70.58442
RUB,30.040276
RWF,573.250079
SAR,3.750025
SBD,8.121015
SCR,11.270612
SDG,2.231652
SEK,7.250259
SGD,1.409077
SHP,0.626424
SLL,3882.502723
SOS,1494.999498
SRD,2.715065
STD,16633.722753
SVC,8.748867
SYP,45.900019
SZL,7.540757
THB,33.134872
TJS,4.368803
TND,1.357403
TOP,1.932369
TRY,1.487343
TTD,6.31525
TWD,32.043741
TZS,1342.502109
UAH,8.07599
UGX,1945.499441
USD,1
UYU,19.550014
UZS,1524.237641
VEF,4.29465
VND,18475.011767
VUV,97.882508
WST,2.565972
XAF,488.379344
XCD,2.614956
XDR,0.64481
XOF,470.854334
XPF,86.073615
YER,205.000084
ZAR,7.466513
ZMK,4630.001934
ZWD,15180.700024
