Code,Rate
AED,3.672775
AFN,48.814303
ALL,102.033518
AMD,387.594438
ANG,1.791
AOA,92.748265
ARS,3.860712
AUD,1.118278
AWG,1.79025
AZN,0.828589
BAM,1.43977
BBD,2
BDT,69.297801
BGN,1.441279
BHD,0.3765
BIF,1137.024428
BMD,1
BND,1.407131
BOB,7.041575
BRL,1.810963
BSD,1
BTN,46.095418
BWP,6.99975
BYR,2933.390752
BZD,1.9875
CAD,1.054041
CDF,904.90129
CHF,1.07512
CLP,526.987973
CNY,6.82669
COP,1941.371267
CRC,547.4345
CVE,81.254237
CZK,19.112086
DJF,177.721
DKK,5.468838
DOP,36.217879
DZD,72.785418
EEK,11.561133
EGP,5.496342
ETB,10.995049
EUR,0.734089
FJD,2.026149
FKP,0.657039
GBP,0.656752
GEL,1.787212
GHS,1.43175
GIP,0.657848
GMD,26.753522
GNF,5025.706725
GTQ,8.175329
GYD,205.981502
HKD,7.762174
HNL,18.92
HRK,5.357375
HTG,40.250808
HUF,198.695533
IDR,9329.101398
IEP,0.689126
ILS,3.784236
INR,46.072045
IQD,1166.142738
IRR,9882.896684
ISK,128.727117
JMD,89.275941
JOD,0.708625
JPY,88.971151
KES,76.813207
KGS,45.503822
KHR,4171.168312
KMF,362.540899
KPW,143.042076
KRW,1159.61949
KWD,0.289023
KZT,147.327727
LAK,8502.105969
LBP,1501.763232
LKR,116.297658
LRD,71.032533
LSL,7.727344
LTL,2.544436
LVL,0.520266
LYD,1.256984
MAD,8.253678
MDL,12.885524
MGA,2175.093147
MKD,45.220634
MMK,6.51
MNT,1427.129197
MOP,8.003895
MRO,260.297604
MUR,30.300848
MVR,12.8
MWK,151.072346
MXN,12.777012
MYR,3.399864
MZN,33.28088
NAD,7.714594
NGN,150.447461
NIO,19.648354
NOK,5.916925
NPR,71.765473
NZD,1.434222
OMR,0.384497
PAB,1
PEN,3.004574
PGK,2.735641
PHP,46.107358
PKR,84.962527
PLN,2.925424
PYG,4742.785413
QAR,3.64
RON,3.026042
RSD,72.560124
RUB,30.005973
RWF,572.532974
SAR,3.750025
SBD,7.68541
SCR,11.598515
SDG,2.228001
SEK,7.138537
SGD,1.406157
SHP,0.657039
SLL,3850.001102
SOS,1504.999926
SRD,2.715004
STD,18040.025461
SVC,8.747618
SYP,45.954404
SZL,7.729396
THB,33.055846
TJS,4.497644
TND,1.394295
TOP,1.926945
TRY,1.546632
TTD,6.29025
TWD,32.098414
TZS,1358.573508
UAH,7.978012
UGX,2044.92231
USD,1
UYU,19.750628
UZS,1569.712601
VEF,4.29465
VND,18656.168534
VUV,98.299865
WST,2.571279
XAF,494.743815
XCD,2.614716
XDR,0.662026
XOF,482.393805
XPF,88.306439
YER,206.000138
ZAR,7.703181
ZMK,4779.916935
ZWD,15180.700207
