Code,Rate
AED,3.67275
AFN,48.610246
ALL,96.306204
AMD,376.831618
ANG,1.791
AOA,89.390089
ARS,3.807735
AUD,1.090879
AWG,1.79025
AZN,0.799999
BAM,1.364691
BBD,2
BDT,69.099934
BGN,1.367321
BHD,0.3765
BIF,1143.10078
BMD,1
BND,1.398113
BOB,7.019074
BRL,1.743431
BSD,1
BTN,45.704162
BWP,6.688112
BYR,2862.567342
BZD,1.9875
CAD,1.034465
CDF,889.94324
CHF,1.035099
CLP,494.652436
CNY,6.828669
COP,1972.875466
CRC,558.428865
CVE,77.084732
CZK,18.377965
DJF,177.721
DKK,5.200656
DOP,36.175136
DZD,71.771493
EEK,10.909369
EGP,5.451902
ETB,10.792927
EUR,0.698671
FJD,1.908684
FKP,0.628393
GBP,0.628319
GEL,1.698884
GHS,1.433751
GIP,0.628915
GMD,25.99837
GNF,4969.684781
GTQ,8.340954
GYD,205.174051
HKD,7.75479
HNL,18.9225
HRK,5.096819
HTG,40.247422
HUF,188.842566
IDR,9270.251988
IEP,0.674235
ILS,3.726604
INR,45.701498
IQD,1153.432212
IRR,9895.920058
ISK,125.627295
JMD,87.584807
JOD,0.708625
JPY,93.343689
KES,75.544033
KGS,44.061815
KHR,4156.471225
KMF,343.93736
KPW,143.062401
KRW,1135.01089
KWD,0.287981
KZT,148.15756
LAK,8477.009648
LBP,1505.410934
LKR,114.273319
LRD,69.541868
LSL,7.336638
LTL,2.41387
LVL,0.493605
LYD,1.238651
MAD,7.893772
MDL,12.199966
MGA,1979.997763
MKD,42.900168
MMK,6.51
MNT,1472.325
MOP,8.000165
MRO,261.241683
MUR,29.748279
MVR,12.795
MWK,145.866458
MXN,12.776231
MYR,3.370176
MZN,30.405002
NAD,7.372888
NGN,150.01632
NIO,19.315031
NOK,5.721892
NPR,71.22077
NZD,1.366013
OMR,0.384497
PAB,1
PEN,3.004574
PGK,2.686497
PHP,45.865558
PKR,84.848198
PLN,2.882061
PYG,4597.230404
QAR,3.64
RON,2.915677
RSD,67.36145
RUB,29.894339
RWF,569.966558
SAR,3.750125
SBD,7.846738
SCR,11.110117
SDG,2.233799
SEK,7.133119
SGD,1.397561
SHP,0.628393
SLL,3837.374154
SOS,1489.709144
SRD,2.714998
STD,16347.745771
SVC,8.7482
SYP,45.499951
SZL,7.342895
THB,33.144075
TJS,4.370994
TND,1.319002
TOP,1.892234
TRY,1.479515
TTD,6.31525
TWD,31.874759
TZS,1335.499951
UAH,8.030007
UGX,1922.494935
USD,1
UYU,19.574984
UZS,1531.075224
VEF,2.1473
VND,18474.99196
VUV,95.750505
WST,2.570582
XAF,482.341462
XCD,2.577969
XDR,0.640368
XOF,458.141462
XPF,83.625203
YER,205.749986
ZAR,7.420334
ZMK,4599.967184
ZWD,15180.700054
