Code,Rate
AED,3.672775
AFN,47.419111
ALL,100.907222
AMD,378.611107
ANG,1.791
AOA,90.211148
ARS,3.841724
AUD,1.140939
AWG,1.79025
AZN,0.802711
BAM,1.419219
BBD,2
BDT,69.266654
BGN,1.421377
BHD,0.37655
BIF,1139.329701
BMD,1
BND,1.419282
BOB,7.021696
BRL,1.851046
BSD,1
BTN,46.661262
BWP,6.902977
BYR,2900.101305
BZD,1.9875
CAD,1.067823
CDF,895.040244
CHF,1.065099
CLP,541.068759
CNY,6.827486
COP,1982.339699
CRC,552.248171
CVE,80.132267
CZK,19.011993
DJF,177.721
DKK,5.403768
DOP,36.204565
DZD,72.958023
EEK,11.414771
EGP,5.490744
ETB,10.811425
EUR,0.725514
FJD,1.976384
FKP,0.638218
GBP,0.638226
GEL,1.71125
GHS,1.437832
GIP,0.639826
GMD,26.326101
GNF,4995.214564
GTQ,8.211862
GYD,205.467738
HKD,7.769804
HNL,18.92
HRK,5.318088
HTG,40.251733
HUF,197.304272
IDR,9355.756264
IEP,0.685119
ILS,3.725136
INR,46.562205
IQD,1165.601331
IRR,9891.92947
ISK,128.173397
JMD,89.11871
JOD,0.708375
JPY,89.62696
KES,76.652562
KGS,44.508849
KHR,4169.00548
KMF,357.534884
KPW,143.078802
KRW,1160.823484
KWD,0.288618
KZT,148.037576
LAK,8458.73016
LBP,1502.564825
LKR,114.709998
LRD,71.006151
LSL,7.702276
LTL,2.509302
LVL,0.513083
LYD,1.253108
MAD,8.163294
MDL,12.752992
MGA,2129.502522
MKD,44.596221
MMK,6.51
MNT,1444.493721
MOP,8.007456
MRO,259.249675
MUR,30.424951
MVR,12.8
MWK,149.756547
MXN,13.103465
MYR,3.430388
MZN,31.207701
NAD,7.685889
NGN,151.249936
NIO,19.363391
NOK,5.914253
NPR,72.274843
NZD,1.441286
OMR,0.384497
PAB,1
PEN,3.004574
PGK,2.697862
PHP,46.350749
PKR,84.898292
PLN,2.963299
PYG,4692.494691
QAR,3.64
RON,2.9976
RSD,71.651882
RUB,30.356763
RWF,572.999339
SAR,3.750125
SBD,7.727527
SCR,11.308934
SDG,2.230481
SEK,7.339789
SGD,1.417209
SHP,0.638218
SLL,3911.245945
SOS,1500
SRD,2.714369
STD,16727.94375
SVC,8.749141
SYP,45.949874
SZL,7.703639
THB,33.170994
TJS,4.367393
TND,1.3735
TOP,1.901224
TRY,1.511121
TTD,6.26025
TWD,32.074094
TZS,1348.997333
UAH,8.079966
UGX,1979.998834
USD,1
UYU,19.899976
UZS,1530
VEF,4.29465
VND,18469.956468
VUV,99.62495
WST,2.568273
XAF,491.406473
XCD,2.615315
XDR,0.649352
XOF,476.556463
XPF,87.36181
YER,205.475932
ZAR,7.69762
ZMK,4696.853649
ZWD,15180.65763
