Code,Rate
AED,3.672775
AFN,47.430136
ALL,101.264928
AMD,381.3053
ANG,1.791
AOA,90.251861
ARS,3.84674
AUD,1.124724
AWG,1.79025
AZN,0.802796
BAM,1.426345
BBD,2
BDT,69.082859
BGN,1.425729
BHD,0.3765
BIF,1126.530702
BMD,1
BND,1.411671
BOB,6.96828
BRL,1.851177
BSD,1
BTN,46.44846
BWP,7.015798
BYR,2898.664109
BZD,1.9875
CAD,1.053582
CDF,897.39013
CHF,1.071014
CLP,532.808269
CNY,6.834482
COP,1952.16654
CRC,552.363119
CVE,80.377606
CZK,18.975292
DJF,177.721
DKK,5.439359
DOP,36.242088
DZD,72.218941
EEK,11.449755
EGP,5.487312
ETB,10.809298
EUR,0.731291
FJD,1.947169
FKP,0.638356
GBP,0.638303
GEL,1.707673
GHS,1.436499
GIP,0.639671
GMD,26.286809
GNF,4996.936048
GTQ,8.167828
GYD,203.154474
HKD,7.769295
HNL,18.92
HRK,5.342494
HTG,39.995529
HUF,197.730147
IDR,9362.408905
IEP,0.685995
ILS,3.736355
INR,46.433443
IQD,1163.918782
IRR,9877.887994
ISK,128.446488
JMD,88.905043
JOD,0.708625
JPY,89.735198
KES,76.567274
KGS,44.683749
KHR,4156.986419
KMF,358.629538
KPW,143.04716
KRW,1157.187216
KWD,0.288043
KZT,147.858081
LAK,8455.095568
LBP,1502.083038
LKR,114.709834
LRD,70.484377
LSL,7.685744
LTL,2.516985
LVL,0.514727
LYD,1.251219
MAD,8.181727
MDL,12.724996
MGA,2124.996348
MKD,44.73276
MMK,6.51
MNT,1439.677322
MOP,8.007843
MRO,257.096675
MUR,30.591225
MVR,12.8
MWK,151.007917
MXN,13.059682
MYR,3.427567
MZN,31.499927
NAD,7.672494
NGN,150.998082
NIO,19.355324
NOK,5.905941
NPR,71.866532
NZD,1.429975
OMR,0.384497
PAB,1
PEN,3.004574
PGK,2.681868
PHP,46.22323
PKR,84.802915
PLN,2.936653
PYG,4669.47839
QAR,3.64
RON,2.997141
RSD,71.359907
RUB,30.222717
RWF,571.686122
SAR,3.750025
SBD,7.785687
SCR,11.423453
SDG,2.230793
SEK,7.259769
SGD,1.412645
SHP,0.638356
SLL,3875
SOS,1495.984808
SRD,2.709994
STD,16766.998068
SVC,8.747673
SYP,45.849905
SZL,7.68539
THB,33.164209
TJS,4.366893
TND,1.379895
TOP,1.911218
TRY,1.513621
TTD,6.26025
TWD,32.040318
TZS,1346.999555
UAH,8.06782
UGX,1989.249122
USD,1
UYU,19.625004
UZS,1528.502697
VEF,4.29465
VND,18849.970768
VUV,96.919813
WST,2.588018
XAF,492.136242
XCD,2.60719
XDR,0.648453
XOF,477.861232
XPF,87.044569
YER,204.499891
ZAR,7.683141
ZMK,4672.496713
ZWD,15180.699774
