Code,Rate
AED,3.672775
AFN,47.430096
ALL,101.191775
AMD,378.594926
ANG,1.791
AOA,90.222849
ARS,3.843093
AUD,1.14318
AWG,1.79025
AZN,0.802798
BAM,1.425204
BBD,2
BDT,69.329486
BGN,1.423446
BHD,0.37655
BIF,1135.353776
BMD,1
BND,1.417449
BOB,6.972693
BRL,1.853126
BSD,1
BTN,46.505291
BWP,6.937097
BYR,2898.987635
BZD,1.9875
CAD,1.066225
CDF,897.668155
CHF,1.067536
CLP,535.648787
CNY,6.829935
COP,1960.155059
CRC,551.389354
CVE,80.248908
CZK,18.98944
DJF,177.721
DKK,5.420557
DOP,36.241079
DZD,72.8919
EEK,11.436483
EGP,5.489416
ETB,10.812995
EUR,0.728306
FJD,1.947732
FKP,0.640705
GBP,0.640882
GEL,1.711569
GHS,1.431999
GIP,0.64032
GMD,26.329252
GNF,5020.512944
GTQ,8.193216
GYD,203.995575
HKD,7.770711
HNL,18.92
HRK,5.332071
HTG,40.004478
HUF,197.584322
IDR,9362.289099
IEP,0.685536
ILS,3.748544
INR,46.466499
IQD,1165.611737
IRR,9887.035008
ISK,128.228846
JMD,88.874399
JOD,0.708375
JPY,89.771162
KES,76.355888
KGS,44.576134
KHR,4161.373195
KMF,358.055313
KPW,143.108542
KRW,1159.324175
KWD,0.288603
KZT,148.180521
LAK,8479.738282
LBP,1502.431927
LKR,114.660046
LRD,71.014541
LSL,7.685574
LTL,2.512955
LVL,0.513793
LYD,1.252522
MAD,8.169919
MDL,12.805054
MGA,2134.990757
MKD,44.661135
MMK,6.51
MNT,1442.79559
MOP,8.008033
MRO,261.171499
MUR,30.205059
MVR,12.8
MWK,150.015291
MXN,13.05877
MYR,3.432175
MZN,31.899245
NAD,7.690324
NGN,151.102157
NIO,19.361158
NOK,5.907726
NPR,72.124458
NZD,1.443488
OMR,0.384497
PAB,1
PEN,3.004574
PGK,2.696111
PHP,46.43919
PKR,85.008338
PLN,2.959461
PYG,4694.740215
QAR,3.64
RON,2.997817
RSD,71.454418
RUB,30.383498
RWF,571.82045
SAR,3.750125
SBD,7.724429
SCR,11.312335
SDG,2.230899
SEK,7.306261
SGD,1.417955
SHP,0.640705
SLL,3911.514385
SOS,1496.499323
SRD,2.710004
STD,16795.440066
SVC,8.750179
SYP,45.849988
SZL,7.686719
THB,33.16842
TJS,4.366894
TND,1.373517
TOP,1.951306
TRY,1.514355
TTD,6.26025
TWD,32.081751
TZS,1349.965793
UAH,8.070043
UGX,1989.963683
USD,1
UYU,19.650658
UZS,1530.756914
VEF,4.29465
VND,18464.978675
VUV,98.098236
WST,2.562647
XAF,491.753426
XCD,2.608227
XDR,0.647902
XOF,477.203421
XPF,86.974927
YER,205.742679
ZAR,7.728106
ZMK,4724.805495
ZWD,15180.699695
