Code,Rate
AED,3.66775
AFN,48.610179
ALL,95.568215
AMD,376.614088
ANG,1.791
AOA,89.174729
ARS,3.799233
AUD,1.098303
AWG,1.79025
AZN,0.803482
BAM,1.359452
BBD,2
BDT,68.911859
BGN,1.359243
BHD,0.3763
BIF,1144.335649
BMD,1
BND,1.398844
BOB,7.01612
BRL,1.726002
BSD,1
BTN,46.254817
BWP,6.707697
BYR,2859.459011
BZD,1.9875
CAD,1.039611
CDF,899.734148
CHF,1.03117
CLP,505.743668
CNY,6.828083
COP,2031.325606
CRC,559.290882
CVE,76.62937
CZK,18.301826
DJF,177.721
DKK,5.166278
DOP,36.133448
DZD,71.823109
EEK,10.833444
EGP,5.486981
ETB,10.790196
EUR,0.693915
FJD,1.909708
FKP,0.620491
GBP,0.62048
GEL,1.697163
GHS,1.429998
GIP,0.619501
GMD,26.741819
GNF,4993.577396
GTQ,8.331188
GYD,205.086214
HKD,7.755989
HNL,18.9225
HRK,5.066479
HTG,40.238867
HUF,187.200587
IDR,9395.283362
IEP,0.672609
ILS,3.75483
INR,46.282717
IQD,1160.701293
IRR,9900.550212
ISK,124.809414
JMD,87.477026
JOD,0.706125
JPY,92.647589
KES,75.638292
KGS,44.07909
KHR,4169.690625
KMF,341.905622
KPW,143.037036
KRW,1152.22395
KWD,0.286871
KZT,148.431652
LAK,8492.508235
LBP,1501.779891
LKR,114.410033
LRD,69.679539
LSL,7.341361
LTL,2.399611
LVL,0.490689
LYD,1.231641
MAD,7.859588
MDL,12.199983
MGA,1969.998332
MKD,42.646744
MMK,6.51
MNT,1432.08216
MOP,8.000838
MRO,262.08655
MUR,29.54579
MVR,12.8025
MWK,146.478245
MXN,12.94002
MYR,3.394721
MZN,30.514928
NAD,7.332861
NGN,149.335289
NIO,19.30124
NOK,5.715418
NPR,71.964028
NZD,1.367289
OMR,0.384497
PAB,1
PEN,3.004574
PGK,2.672655
PHP,45.917085
PKR,84.489017
PLN,2.851484
PYG,4601.823869
QAR,3.64
RON,2.933135
RSD,66.862127
RUB,30.121178
RWF,570.416191
SAR,3.7475
SBD,7.842967
SCR,11.039069
SDG,2.239992
SEK,7.071565
SGD,1.398087
SHP,0.620491
SLL,3864.431844
SOS,1487.060956
SRD,2.714995
STD,16129.281292
SVC,8.746342
SYP,45.599895
SZL,7.340351
THB,33.199343
TJS,4.371365
TND,1.321494
TOP,1.934326
TRY,1.484209
TTD,6.31525
TWD,31.730138
TZS,1337.496185
UAH,8.005018
UGX,1910.997352
USD,1
UYU,19.54997
UZS,1517.826117
VEF,2.1473
VND,18460.961081
VUV,97.502421
WST,2.566951
XAF,480.986971
XCD,2.608824
XDR,0.637987
XOF,455.186966
XPF,83.278794
YER,205.749726
ZAR,7.316513
ZMK,4659.996671
ZWD,15180.699741
