Code,Rate
AED,3.6703
AFN,47.4301
ALL,101.458466
AMD,381.131136
ANG,1.791
AOA,89.69991
ARS,3.85999
AUD,1.112291
AWG,1.79025
AZN,0.802801
BAM,1.428349
BBD,2
BDT,69.12878
BGN,1.432936
BHD,0.37655
BIF,1132.105561
BMD,1
BND,1.407114
BOB,7.019801
BRL,1.847198
BSD,1
BTN,46.166297
BWP,6.925406
BYR,2904.280193
BZD,1.9875
CAD,1.043972
CDF,899.992315
CHF,1.070078
CLP,525.760968
CNY,6.833631
COP,1930.256206
CRC,553.708135
CVE,80.78394
CZK,19.08711
DJF,177.721
DKK,5.433605
DOP,36.146577
DZD,72.851577
EEK,11.461633
EGP,5.490577
ETB,10.811045
EUR,0.727944
FJD,1.938002
FKP,0.635623
GBP,0.63563
GEL,1.71235
GHS,1.433747
GIP,0.637776
GMD,26.798166
GNF,5024.870203
GTQ,8.180602
GYD,206.1862
HKD,7.770591
HNL,18.92
HRK,5.334937
HTG,40.248593
HUF,199.140371
IDR,9300.293488
IEP,0.687446
ILS,3.7434
INR,46.093257
IQD,1165.067446
IRR,9890.129827
ISK,127.79912
JMD,89.341048
JOD,0.708625
JPY,90.128749
KES,77.349739
KGS,44.776195
KHR,4185.081112
KMF,360.442523
KPW,143.083148
KRW,1149.422415
KWD,0.289253
KZT,148.078794
LAK,8510.167631
LBP,1502.523388
LKR,114.409917
LRD,71.001837
LSL,7.711095
LTL,2.529709
LVL,0.517036
LYD,1.256039
MAD,8.214859
MDL,12.794986
MGA,2159.996776
MKD,44.958898
MMK,6.51
MNT,1442.532142
MOP,8.00815
MRO,258.753276
MUR,30.725219
MVR,12.8
MWK,151.249859
MXN,12.879198
MYR,3.42184
MZN,29.27996
NAD,7.666845
NGN,151.326435
NIO,19.346441
NOK,5.87591
NPR,71.875856
NZD,1.418899
OMR,0.384497
PAB,1
PEN,3.004574
PGK,2.724479
PHP,46.070624
PKR,84.728151
PLN,2.940508
PYG,4695.029251
QAR,3.64
RON,3.009476
RSD,71.872178
RUB,30.278808
RWF,573.255097
SAR,3.750125
SBD,7.72754
SCR,11.721666
SDG,2.230398
SEK,7.212122
SGD,1.406232
SHP,0.635623
SLL,3905.009528
SOS,1499.996337
SRD,2.714991
STD,17980.205546
SVC,8.748874
SYP,45.949919
SZL,7.7119
THB,33.180232
TJS,4.366891
TND,1.387
TOP,1.955159
TRY,1.511544
TTD,6.26025
TWD,32.089633
TZS,1348.495157
UAH,8.019962
UGX,2018.599232
USD,1
UYU,19.649966
UZS,1548.912008
VEF,4.29465
VND,18704.959045
VUV,98.049842
WST,2.574218
XAF,493.344899
XCD,2.614659
XDR,0.652439
XOF,480.194889
XPF,87.751948
YER,204.399727
ZAR,7.701704
ZMK,4682.599425
ZWD,15180.699663
