Code,Rate
AED,3.672795
AFN,47.425079
ALL,99.946643
AMD,375.992842
ANG,1.791
AOA,89.290385
ARS,3.835096
AUD,1.126953
AWG,1.79025
AZN,0.805011
BAM,1.407404
BBD,2
BDT,68.980352
BGN,1.405747
BHD,0.3765
BIF,1134.201123
BMD,1
BND,1.406179
BOB,7.01824
BRL,1.871191
BSD,1
BTN,46.345565
BWP,6.83084
BYR,2896.748078
BZD,1.9875
CAD,1.065416
CDF,900.005747
CHF,1.057705
CLP,528.354531
CNY,6.827547
COP,1980.863008
CRC,556.024607
CVE,79.25106
CZK,18.758718
DJF,177.721
DKK,5.350784
DOP,36.125294
DZD,72.370034
EEK,11.269364
EGP,5.457562
ETB,10.811266
EUR,0.718503
FJD,1.947466
FKP,0.627645
GBP,0.627759
GEL,1.740805
GHS,1.422424
GIP,0.6288
GMD,26.300766
GNF,5037.648584
GTQ,8.315757
GYD,205.442485
HKD,7.766896
HNL,18.9225
HRK,5.258937
HTG,40.249186
HUF,194.979532
IDR,9384.529419
IEP,0.681972
ILS,3.728382
INR,46.296732
IQD,1153.317823
IRR,9901.791634
ISK,127.654406
JMD,89.215635
JOD,0.708625
JPY,90.5511
KES,75.92876
KGS,44.257614
KHR,4157.244908
KMF,353.603105
KPW,143.079212
KRW,1168.256007
KWD,0.288508
KZT,147.983413
LAK,8450.498023
LBP,1502.543809
LKR,114.609948
LRD,70.554166
LSL,7.57839
LTL,2.481708
LVL,0.507261
LYD,1.24807
MAD,8.087438
MDL,12.75502
MGA,2109.76959
MKD,44.1058
MMK,6.51
MNT,1452.503119
MOP,8.006393
MRO,259.251795
MUR,29.375022
MVR,12.8
MWK,146.250108
MXN,12.989339
MYR,3.41411
MZN,30.646659
NAD,7.552961
NGN,150.859129
NIO,19.350015
NOK,5.880657
NPR,71.325203
NZD,1.415931
OMR,0.384497
PAB,1
PEN,3.004574
PGK,2.691564
PHP,46.600786
PKR,84.851367
PLN,2.878243
PYG,4762.471394
QAR,3.64
RON,2.936878
RSD,70.714286
RUB,30.425487
RWF,573.247995
SAR,3.750025
SBD,8.114727
SCR,11.106995
SDG,2.22876
SEK,7.279867
SGD,1.411932
SHP,0.627645
SLL,3897.521667
SOS,1496.988773
SRD,2.71471
STD,16455.387695
SVC,8.749011
SYP,45.799951
SZL,7.577211
THB,33.166643
TJS,4.368304
TND,1.357143
TOP,1.93996
TRY,1.490264
TTD,6.31525
TWD,32.0562
TZS,1343.502501
UAH,8.038032
UGX,1946.097046
USD,1
UYU,19.548943
UZS,1524.071013
VEF,4.29465
VND,18468.012003
VUV,97.602887
WST,2.563388
XAF,488.785289
XCD,2.650047
XDR,0.645555
XOF,470.685279
XPF,86.147464
YER,204.739112
ZAR,7.551575
ZMK,4610.845871
ZWD,15180.680462
