Code,Rate
AED,3.672775
AFN,47.428551
ALL,100.500944
AMD,376.510703
ANG,1.791
AOA,89.947208
ARS,3.83605
AUD,1.149546
AWG,1.79025
AZN,0.802871
BAM,1.410554
BBD,2
BDT,69.090541
BGN,1.412447
BHD,0.3765
BIF,1134.564721
BMD,1
BND,1.413042
BOB,7.024118
BRL,1.873846
BSD,1
BTN,46.29151
BWP,6.794728
BYR,2883.366791
BZD,1.9875
CAD,1.068515
CDF,897.626555
CHF,1.063986
CLP,545.322321
CNY,6.82803
COP,1978.863649
CRC,553.555829
CVE,79.6288
CZK,18.830959
DJF,177.721
DKK,5.395099
DOP,36.267996
DZD,72.822257
EEK,11.248534
EGP,5.473517
ETB,10.81268
EUR,0.726653
FJD,1.961882
FKP,0.632367
GBP,0.633055
GEL,1.723684
GHS,1.429227
GIP,0.630534
GMD,26.303638
GNF,5004.452921
GTQ,8.27465
GYD,205.507665
HKD,7.768505
HNL,18.9225
HRK,5.29575
HTG,40.255677
HUF,196.910393
IDR,9368.577501
IEP,0.683321
ILS,3.719929
INR,46.312929
IQD,1168.038072
IRR,9902.896295
ISK,127.799392
JMD,89.227742
JOD,0.708625
JPY,89.679573
KES,76.361342
KGS,44.435565
KHR,4157.441417
KMF,355.28851
KPW,143.079982
KRW,1148.666872
KWD,0.287991
KZT,147.887619
LAK,8476.38846
LBP,1505.715293
LKR,114.560218
LRD,70.019743
LSL,7.573933
LTL,2.493537
LVL,0.509823
LYD,1.25175
MAD,8.123582
MDL,12.835045
MGA,2125.007229
MKD,44.316025
MMK,6.51
MNT,1452.907142
MOP,8.007496
MRO,259.162026
MUR,30.129238
MVR,12.795
MWK,147.020538
MXN,13.033442
MYR,3.426557
MZN,30.628941
NAD,7.507743
NGN,151.15008
NIO,19.359979
NOK,5.928925
NPR,71.925188
NZD,1.447527
OMR,0.384497
PAB,1
PEN,3.004574
PGK,2.685854
PHP,46.261044
PKR,84.953487
PLN,2.908933
PYG,4782.505785
QAR,3.64
RON,2.984389
RSD,70.896804
RUB,30.10581
RWF,573.250579
SAR,3.74988
SBD,8.133692
SCR,11.306972
SDG,2.231328
SEK,7.363091
SGD,1.417876
SHP,0.632367
SLL,3857.506507
SOS,1496.000867
SRD,2.714905
STD,16650.255976
SVC,8.74998
SYP,45.998915
SZL,7.528493
THB,33.113345
TJS,4.3669
TND,1.367103
TOP,1.934331
TRY,1.500652
TTD,6.31525
TWD,32.052499
TZS,1341.502744
UAH,8.071232
UGX,1967.501445
USD,1
UYU,19.575022
UZS,1521.968657
VEF,4.29465
VND,18470.046219
VUV,99.012807
WST,2.561033
XAF,489.908892
XCD,2.615766
XDR,0.647447
XOF,471.108887
XPF,86.25187
YER,204.250109
ZAR,7.602825
ZMK,4602.505785
ZWD,15180.700608
