Code,Rate
AED,3.673
AFN,47.430833
ALL,99.667117
AMD,375.793395
ANG,1.791
AOA,90.175513
ARS,3.831778
AUD,1.130988
AWG,1.79025
AZN,0.802909
BAM,1.403635
BBD,2
BDT,69.018411
BGN,1.398609
BHD,0.37655
BIF,1136.64507
BMD,1
BND,1.408998
BOB,7.019314
BRL,1.839444
BSD,1
BTN,46.005516
BWP,6.765234
BYR,2876.609497
BZD,1.9875
CAD,1.060684
CDF,897.435344
CHF,1.056526
CLP,528.955539
CNY,6.827127
COP,1969.74554
CRC,553.417866
CVE,78.848684
CZK,18.612353
DJF,177.721
DKK,5.334053
DOP,36.1479
DZD,72.321946
EEK,11.140779
EGP,5.464641
ETB,10.809956
EUR,0.717948
FJD,1.952436
FKP,0.626247
GBP,0.627483
GEL,1.728942
GHS,1.428511
GIP,0.626573
GMD,26.335596
GNF,5005.883746
GTQ,8.285882
GYD,205.419442
HKD,7.765372
HNL,18.9225
HRK,5.240243
HTG,40.247036
HUF,193.523544
IDR,9301.944769
IEP,0.680535
ILS,3.706699
INR,45.993801
IQD,1167.412869
IRR,9900.770095
ISK,126.615087
JMD,89.208452
JOD,0.708375
JPY,90.834744
KES,75.958477
KGS,44.367433
KHR,4156.594308
KMF,351.80778
KPW,143.079017
KRW,1149.326616
KWD,0.288227
KZT,147.852998
LAK,8469.747068
LBP,1502.140511
LKR,114.559906
LRD,70.489577
LSL,7.487582
LTL,2.469108
LVL,0.504757
LYD,1.245218
MAD,8.059879
MDL,12.874991
MGA,2120.030084
MKD,43.881865
MMK,6.51
MNT,1452.496596
MOP,8.005013
MRO,257.749866
MUR,29.897776
MVR,12.8
MWK,146.239434
MXN,12.907345
MYR,3.401096
MZN,30.500394
NAD,7.466978
NGN,151.274484
NIO,19.351438
NOK,5.848629
NPR,71.725061
NZD,1.408678
OMR,0.384497
PAB,1
PEN,3.004574
PGK,2.690512
PHP,46.154848
PKR,85.003286
PLN,2.848041
PYG,4782.495699
QAR,3.64
RON,2.93771
RSD,70.478401
RUB,29.86318
RWF,573.149456
SAR,3.750025
SBD,7.727537
SCR,11.303592
SDG,2.231528
SEK,7.240144
SGD,1.409892
SHP,0.626247
SLL,3874.970449
SOS,1504.986027
SRD,2.715037
STD,16617.484769
SVC,8.748097
SYP,45.799914
SZL,7.471728
THB,33.059065
TJS,4.367333
TND,1.353005
TOP,1.934328
TRY,1.485472
TTD,6.31525
TWD,31.982586
TZS,1338.505621
UAH,8.069991
UGX,1957.495163
USD,1
UYU,19.549984
UZS,1521.331522
VEF,4.29465
VND,18469.969179
VUV,98.050865
WST,2.565956
XAF,487.588406
XCD,2.614872
XDR,0.643497
XOF,469.713406
XPF,85.679727
YER,204.749821
ZAR,7.477554
ZMK,4627.464181
ZWD,15180.699567
