Code,Rate
AED,3.672775
AFN,49.107368
ALL,103.192181
AMD,389.93019
ANG,1.791
AOA,93.305814
ARS,3.868082
AUD,1.128748
AWG,1.79025
AZN,0.833568
BAM,1.447497
BBD,2
BDT,71.596066
BGN,1.449933
BHD,0.37655
BIF,1160.783472
BMD,1
BND,1.410776
BOB,7.01892
BRL,1.834679
BSD,1
BTN,46.347878
BWP,7.042168
BYR,2961.846468
BZD,1.9875
CAD,1.061272
CDF,904.930002
CHF,1.083198
CLP,535.126107
CNY,6.827561
COP,1942.863718
CRC,547.41585
CVE,81.74216
CZK,19.202576
DJF,177.721
DKK,5.515869
DOP,36.795889
DZD,74.07431
EEK,11.603794
EGP,5.559628
ETB,11.037044
EUR,0.739828
FJD,1.997429
FKP,0.654146
GBP,0.654982
GEL,1.798663
GHS,1.4293
GIP,0.653051
GMD,27.179993
GNF,5111.589951
GTQ,8.08147
GYD,211.964013
HKD,7.764118
HNL,18.92
HRK,5.390058
HTG,40.711974
HUF,200.312596
IDR,9347.333283
IEP,0.690868
ILS,3.795408
INR,46.328409
IQD,1188.205947
IRR,10074.920658
ISK,129.158576
JMD,90.783784
JOD,0.708625
JPY,89.168793
KES,76.851866
KGS,45.795328
KHR,4317.560657
KMF,364.717918
KPW,143.099794
KRW,1163.887987
KWD,0.293492
KZT,153.234077
LAK,8791.289273
LBP,1531.453718
LKR,116.602073
LRD,71.010168
LSL,7.795393
LTL,2.559715
LVL,0.523428
LYD,1.281737
MAD,8.296766
MDL,13.110688
MGA,2213.060813
MKD,45.492179
MMK,6.51
MNT,1427.707539
MOP,8.004649
MRO,264.056828
MUR,30.719691
MVR,12.8
MWK,151.863475
MXN,12.84044
MYR,3.405388
MZN,32.344855
NAD,7.836143
NGN,153.31195
NIO,19.713936
NOK,5.965435
NPR,72.030212
NZD,1.450473
OMR,0.384497
PAB,1
PEN,3.004574
PGK,2.741375
PHP,46.264657
PKR,86.313001
PLN,2.959893
PYG,4696.503837
QAR,3.64
RON,3.059242
RSD,72.995894
RUB,30.066324
RWF,582.848923
SAR,3.750125
SBD,7.659855
SCR,11.633469
SDG,2.229602
SEK,7.229169
SGD,1.410369
SHP,0.654146
SLL,3853.502161
SOS,1506.603032
SRD,2.711001
STD,18100.737045
SVC,8.749389
SYP,47.433414
SZL,7.794393
THB,33.097654
TJS,4.524656
TND,1.400547
TOP,1.953324
TRY,1.5526
TTD,6.29025
TWD,32.119354
TZS,1386.836912
UAH,8.295662
UGX,2019.600705
USD,1
UYU,19.982865
UZS,1578.515828
VEF,4.29465
VND,19088.877826
VUV,97.71551
WST,2.592833
XAF,496.195161
XCD,2.574804
XDR,0.666267
XOF,486.645156
XPF,88.345468
YER,204.750178
ZAR,7.8407
ZMK,4768.849211
ZWD,15180.70014
