Code,Rate
AED,3.672775
AFN,48.8972
ALL,102.304746
AMD,388.515643
ANG,1.791
AOA,92.90646
ARS,3.864032
AUD,1.119873
AWG,1.79025
AZN,0.830002
BAM,1.444394
BBD,2
BDT,70.9557
BGN,1.443726
BHD,0.3763
BIF,1158.492755
BMD,1
BND,1.410009
BOB,7.292108
BRL,1.820736
BSD,1
BTN,46.356789
BWP,7.01649
BYR,2954.424463
BZD,1.9875
CAD,1.055117
CDF,907.716771
CHF,1.080052
CLP,533.166668
CNY,6.827703
COP,1931.012793
CRC,546.96239
CVE,81.39219
CZK,19.090889
DJF,177.721
DKK,5.490744
DOP,36.728663
DZD,73.685055
EEK,11.512026
EGP,5.563736
ETB,11.009632
EUR,0.738013
FJD,1.980253
FKP,0.648368
GBP,0.64842
GEL,1.791211
GHS,1.428253
GIP,0.647745
GMD,27.047547
GNF,5100.818477
GTQ,8.192627
GYD,211.084855
HKD,7.765118
HNL,18.92
HRK,5.364071
HTG,40.626592
HUF,199.408837
IDR,9321.441475
IEP,0.689619
ILS,3.773234
INR,46.299713
IQD,1185.002753
IRR,10047.581605
ISK,128.717535
JMD,90.592562
JOD,0.708375
JPY,90.154054
KES,77.121159
KGS,45.605417
KHR,4302.010792
KMF,363.156418
KPW,143.118026
KRW,1153.129953
KWD,0.293007
KZT,152.59897
LAK,8754.849708
LBP,1527.399501
LKR,116.223059
LRD,73.731308
LSL,7.779089
LTL,2.548756
LVL,0.521187
LYD,1.275944
MAD,8.268886
MDL,13.052969
MGA,2203.590337
MKD,45.297409
MMK,6.51
MNT,1427.886779
MOP,8.004942
MRO,263.356463
MUR,30.806135
MVR,12.8
MWK,151.54734
MXN,12.871261
MYR,3.401075
MZN,32.206411
NAD,7.761339
NGN,152.897047
NIO,19.674476
NOK,5.925828
NPR,71.985007
NZD,1.443878
OMR,0.384497
PAB,1
PEN,3.004574
PGK,2.708677
PHP,46.145523
PKR,86.130893
PLN,2.947221
PYG,4713.14064
QAR,3.64
RON,3.04362
RSD,72.683301
RUB,30.076024
RWF,581.578538
SAR,3.750025
SBD,7.663034
SCR,11.608414
SDG,2.229702
SEK,7.214861
SGD,1.409399
SHP,0.648368
SLL,3881.252351
SOS,1507.004185
SRD,2.715003
STD,18061.703883
SVC,8.750869
SYP,47.230448
SZL,7.776095
THB,33.024409
TJS,4.505284
TND,1.394575
TOP,1.950018
TRY,1.546294
TTD,6.29025
TWD,32.089618
TZS,1380.707286
UAH,8.260141
UGX,2011.813136
USD,1
UYU,19.914615
UZS,1570.606038
VEF,4.29465
VND,19007.177678
VUV,98.595103
WST,2.584135
XAF,495.154161
XCD,2.615629
XDR,0.6635
XOF,482.354156
XPF,88.156089
YER,206.000115
ZAR,7.770273
ZMK,4751.111143
ZWD,15180.700236
