Code,Rate
AED,3.67275
AFN,48.550089
ALL,96.435505
AMD,377.894224
ANG,1.791
AOA,89.174867
ARS,3.79928
AUD,1.108609
AWG,1.79025
AZN,0.802601
BAM,1.363
BBD,2
BDT,68.875969
BGN,1.35765
BHD,0.3765
BIF,1136.687381
BMD,1
BND,1.400814
BOB,7.020063
BRL,1.741616
BSD,1
BTN,46.390556
BWP,6.684572
BYR,2862.268784
BZD,1.9875
CAD,1.048534
CDF,890.00504
CHF,1.0328
CLP,507.427443
CNY,6.828759
COP,2044.171135
CRC,554.506762
CVE,76.538942
CZK,18.390696
DJF,177.721
DKK,5.180377
DOP,36.205077
DZD,71.326541
EEK,10.860498
EGP,5.486778
ETB,10.756432
EUR,0.696083
FJD,1.946322
FKP,0.617865
GBP,0.617865
GEL,1.692423
GHS,1.429497
GIP,0.616479
GMD,26.200169
GNF,4995.970044
GTQ,8.33355
GYD,205.197677
HKD,7.754729
HNL,18.9225
HRK,5.081717
HTG,40.249761
HUF,188.805457
IDR,9402.221562
IEP,0.672286
ILS,3.785744
INR,46.524322
IQD,1151.992531
IRR,9889.944329
ISK,124.948712
JMD,87.739453
JOD,0.708375
JPY,92.741464
KES,75.840606
KGS,44.066483
KHR,4145.046765
KMF,341.502152
KPW,143.112069
KRW,1160.640163
KWD,0.287273
KZT,148.473173
LAK,8466.893794
LBP,1501.743462
LKR,114.369762
LRD,68.999131
LSL,7.384621
LTL,2.396779
LVL,0.487855
LYD,1.235989
MAD,7.877534
MDL,12.234987
MGA,1959.991649
MKD,42.596418
MMK,6.51
MNT,1432.483743
MOP,7.999735
MRO,261.248805
MUR,29.674809
MVR,12.795
MWK,143.274305
MXN,13.108757
MYR,3.422995
MZN,30.584999
NAD,7.356121
NGN,149.698917
NIO,19.307824
NOK,5.771254
NPR,71.724682
NZD,1.378883
OMR,0.384497
PAB,1
PEN,3.004574
PGK,2.685241
PHP,46.153271
PKR,84.400874
PLN,2.84916
PYG,4692.47027
QAR,3.64
RON,2.950425
RSD,66.612287
RUB,30.002896
RWF,569.996697
SAR,3.750375
SBD,7.84671
SCR,10.979979
SDG,2.234396
SEK,7.138645
SGD,1.403339
SHP,0.617865
SLL,3849.993913
SOS,1499.996522
SRD,2.71499
STD,16129.897404
SVC,8.748798
SYP,45.549845
SZL,7.395295
THB,33.294911
TJS,4.370486
TND,1.318996
TOP,1.90848
TRY,1.502598
TTD,6.31525
TWD,31.999965
TZS,1338.495773
UAH,8.005007
UGX,1904.998348
USD,1
UYU,19.549958
UZS,1508.614466
VEF,2.15
VND,18469.946758
VUV,97.049984
WST,2.587412
XAF,480.717991
XCD,2.605025
XDR,0.637967
XOF,454.917986
XPF,83.342361
YER,204.499713
ZAR,7.393195
ZMK,4689.991132
ZWD,15180.699616
