Code,Rate
AED,3.672795
AFN,48.610151
ALL,96.326096
AMD,376.439615
ANG,1.791
AOA,89.379638
ARS,3.798978
AUD,1.086841
AWG,1.79025
AZN,0.799994
BAM,1.366776
BBD,2
BDT,69.034993
BGN,1.37029
BHD,0.3763
BIF,1142.607912
BMD,1
BND,1.397592
BOB,7.013515
BRL,1.740881
BSD,1
BTN,45.642863
BWP,6.696288
BYR,2862.428351
BZD,1.9875
CAD,1.033591
CDF,889.588962
CHF,1.030559
CLP,492.867723
CNY,6.828053
COP,1969.593225
CRC,558.084731
CVE,77.252154
CZK,18.388039
DJF,177.721
DKK,5.19502
DOP,36.106896
DZD,71.684958
EEK,10.970546
EGP,5.449738
ETB,10.787882
EUR,0.695947
FJD,1.92389
FKP,0.625089
GBP,0.625042
GEL,1.697637
GHS,1.432498
GIP,0.625937
GMD,25.988244
GNF,4985.220504
GTQ,8.337655
GYD,206.008861
HKD,7.755587
HNL,18.9225
HRK,5.090872
HTG,40.231385
HUF,187.893018
IDR,9267.453379
IEP,0.674833
ILS,3.712475
INR,45.618017
IQD,1152.96843
IRR,9886.942374
ISK,125.6526
JMD,87.548936
JOD,0.708625
JPY,92.946559
KES,75.361961
KGS,44.051234
KHR,4149.174729
KMF,344.684369
KPW,143.028148
KRW,1129.22267
KWD,0.287399
KZT,148.122361
LAK,8476.973797
LBP,1505.231813
LKR,114.339519
LRD,69.975169
LSL,7.419263
LTL,2.419113
LVL,0.494676
LYD,1.236258
MAD,7.837335
MDL,12.199957
MGA,1991.994213
MKD,42.993344
MMK,6.51
MNT,1471.972788
MOP,8.000504
MRO,261.203489
MUR,29.644758
MVR,12.8
MWK,145.311681
MXN,12.737844
MYR,3.374415
MZN,30.65493
NAD,7.416513
NGN,149.748087
NIO,19.305565
NOK,5.706204
NPR,71.512083
NZD,1.363876
OMR,0.384497
PAB,1
PEN,3.004574
PGK,2.68722
PHP,45.783144
PKR,84.791148
PLN,2.878722
PYG,4616.675198
QAR,3.64
RON,2.914286
RSD,67.720472
RUB,29.67661
RWF,570.648206
SAR,3.750125
SBD,7.883166
SCR,11.060594
SDG,2.230992
SEK,7.133645
SGD,1.396634
SHP,0.625089
SLL,3849.310187
SOS,1489.465887
SRD,2.714991
STD,16437.385694
SVC,8.744729
SYP,45.583741
SZL,7.419263
THB,33.161626
TJS,4.369636
TND,1.323494
TOP,1.89582
TRY,1.469859
TTD,6.31525
TWD,31.860955
TZS,1333.495628
UAH,8.029992
UGX,1923.495912
USD,1
UYU,19.549955
UZS,1540.14573
VEF,2.1473
VND,18469.941778
VUV,96.049984
WST,2.570592
XAF,482.839468
XCD,2.603743
XDR,0.640291
XOF,459.514468
XPF,83.7158
YER,205.999761
ZAR,7.411731
ZMK,4549.992868
ZWD,15180.699566
