Code,Rate
AED,3.672725
AFN,47.914891
ALL,101.955129
AMD,381.944096
ANG,1.791
AOA,90.084179
ARS,3.865685
AUD,1.118259
AWG,1.79025
AZN,0.802716
BAM,1.445499
BBD,2
BDT,69.316316
BGN,1.440536
BHD,0.3763
BIF,1136.381641
BMD,1
BND,1.409585
BOB,7.016585
BRL,1.820749
BSD,1
BTN,46.192523
BWP,6.926641
BYR,2921.041637
BZD,1.9875
CAD,1.050515
CDF,904.93211
CHF,1.08205
CLP,528.74694
CNY,6.827496
COP,1924.223917
CRC,546.517816
CVE,81.212344
CZK,18.983296
DJF,177.721
DKK,5.491797
DOP,36.141398
DZD,72.948554
EEK,11.574577
EGP,5.482086
ETB,10.761251
EUR,0.739242
FJD,1.937829
FKP,0.648091
GBP,0.648028
GEL,1.73804
GHS,1.430176
GIP,0.648302
GMD,26.573002
GNF,5037.122038
GTQ,8.179891
GYD,206.169008
HKD,7.761953
HNL,18.92
HRK,5.371824
HTG,40.246995
HUF,198.948981
IDR,9289.317533
IEP,0.688976
ILS,3.769165
INR,46.23618
IQD,1166.86382
IRR,9895.757421
ISK,128.551841
JMD,89.258242
JOD,0.708625
JPY,90.350856
KES,76.969177
KGS,44.662323
KHR,4192.964867
KMF,362.353981
KPW,143.07986
KRW,1151.610551
KWD,0.289344
KZT,147.35298
LAK,8503.722472
LBP,1505.387252
LKR,114.260381
LRD,70.989371
LSL,7.7127
LTL,2.543124
LVL,0.520036
LYD,1.262712
MAD,8.258239
MDL,12.879067
MGA,2169.767504
MKD,45.197319
MMK,6.51
MNT,1432.508728
MOP,8.003579
MRO,259.355418
MUR,30.79768
MVR,12.8
MWK,150.738943
MXN,12.841904
MYR,3.397084
MZN,30.704766
NAD,7.66404
NGN,150.565178
NIO,19.372388
NOK,5.923886
NPR,71.925169
NZD,1.43752
OMR,0.384497
PAB,1
PEN,3.004574
PGK,2.740351
PHP,46.083084
PKR,85.049175
PLN,2.924284
PYG,4712.507296
QAR,3.64
RON,3.040623
RSD,72.486326
RUB,30.062473
RWF,572.451114
SAR,3.750025
SBD,7.675805
SCR,11.425023
SDG,2.229563
SEK,7.232831
SGD,1.409516
SHP,0.648091
SLL,3872.507075
SOS,1505.005082
SRD,2.71471
STD,18040.031377
SVC,8.748078
SYP,45.950155
SZL,7.71579
THB,33.074282
TJS,4.366919
TND,1.397606
TOP,1.928733
TRY,1.536959
TTD,6.26025
TWD,32.071987
TZS,1352.508433
UAH,7.980053
UGX,2008.254408
USD,1
UYU,19.700032
UZS,1548.773661
VEF,4.29465
VND,18630.065847
VUV,98.670146
WST,2.562511
XAF,494.619203
XCD,2.654344
XDR,0.65374
XOF,481.469193
XPF,88.05877
YER,205.750472
ZAR,7.711864
ZMK,4710.010098
ZWD,15180.680917
