Code,Rate
AED,3.672705
AFN,47.430065
ALL,101.320207
AMD,381.059536
ANG,1.791
AOA,90.030444
ARS,3.850992
AUD,1.130564
AWG,1.79025
AZN,0.8028
BAM,1.439564
BBD,2
BDT,69.172697
BGN,1.441077
BHD,0.3765
BIF,1135.387931
BMD,1
BND,1.412374
BOB,7.01723
BRL,1.862227
BSD,1
BTN,46.412078
BWP,7.039475
BYR,2898.435168
BZD,1.9875
CAD,1.051128
CDF,899.821301
CHF,1.077239
CLP,528.851492
CNY,6.835233
COP,1938.085152
CRC,545.784798
CVE,81.242263
CZK,19.127734
DJF,177.721
DKK,5.472495
DOP,36.307434
DZD,73.101174
EEK,11.581643
EGP,5.486913
ETB,10.808354
EUR,0.735231
FJD,1.937593
FKP,0.638662
GBP,0.638662
GEL,1.707127
GHS,1.4375
GIP,0.640363
GMD,26.269933
GNF,5024.659516
GTQ,8.165966
GYD,206.172049
HKD,7.770177
HNL,18.92
HRK,5.378871
HTG,40.247294
HUF,199.327356
IDR,9342.293527
IEP,0.689083
ILS,3.747467
INR,46.431632
IQD,1165.472967
IRR,9885.831565
ISK,129.071067
JMD,89.208849
JOD,0.708625
JPY,90.03108
KES,76.94468
KGS,44.766958
KHR,4153.363631
KMF,362.487474
KPW,143.060213
KRW,1156.007924
KWD,0.289056
KZT,147.874749
LAK,8478.850427
LBP,1505.398336
LKR,114.669372
LRD,70.990411
LSL,7.665416
LTL,2.544061
LVL,0.517834
LYD,1.261031
MAD,8.244646
MDL,12.798491
MGA,2159.996758
MKD,45.21397
MMK,6.51
MNT,1442.302034
MOP,8.008163
MRO,257.232777
MUR,30.422953
MVR,12.8
MWK,151.514822
MXN,12.995991
MYR,3.423749
MZN,29.649885
NAD,7.653666
NGN,151.099717
NIO,19.340091
NOK,5.923654
NPR,72.069817
NZD,1.437241
OMR,0.384497
PAB,1
PEN,3.004574
PGK,2.71793
PHP,46.295587
PKR,84.817985
PLN,2.959917
PYG,4682.183345
QAR,3.64
RON,3.035136
RSD,71.93361
RUB,30.248076
RWF,573.46129
SAR,3.74988
SBD,7.72753
SCR,11.274988
SDG,2.22999
SEK,7.27251
SGD,1.413065
SHP,0.638662
SLL,3913.745439
SOS,1489.998821
SRD,2.714989
STD,18016.734748
SVC,8.747022
SYP,45.899885
SZL,7.668872
THB,33.232644
TJS,4.366889
TND,1.391097
TOP,1.901223
TRY,1.520566
TTD,6.26025
TWD,32.132573
TZS,1352.497347
UAH,8.031827
UGX,2008.997381
USD,1
UYU,19.849955
UZS,1533.716475
VEF,4.3
VND,18704.943192
VUV,97.304983
WST,2.562499
XAF,494.708199
XCD,2.614485
XDR,0.652303
XOF,481.558189
XPF,87.62496
YER,205.999632
ZAR,7.717333
ZMK,4664.993527
ZWD,15180.699597
