Code,Rate
AED,3.672725
AFN,48.610146
ALL,95.647242
AMD,376.834618
ANG,1.791
AOA,89.17008
ARS,3.796274
AUD,1.094237
AWG,1.79025
AZN,0.8029
BAM,1.357858
BBD,2
BDT,68.95229
BGN,1.354255
BHD,0.3763
BIF,1141.701672
BMD,1
BND,1.397294
BOB,7.020247
BRL,1.724062
BSD,1
BTN,46.246543
BWP,6.587834
BYR,2860.0637
BZD,1.9875
CAD,1.037143
CDF,890.015144
CHF,1.031381
CLP,503.461485
CNY,6.827519
COP,2002.299416
CRC,559.418301
CVE,76.348151
CZK,18.172833
DJF,177.721
DKK,5.162205
DOP,36.131575
DZD,71.769242
EEK,10.855011
EGP,5.465845
ETB,10.79393
EUR,0.694935
FJD,1.901161
FKP,0.624472
GBP,0.624472
GEL,1.700853
GHS,1.427497
GIP,0.623494
GMD,26.350432
GNF,4975.080924
GTQ,8.333642
GYD,205.207011
HKD,7.756406
HNL,18.9225
HRK,5.053641
HTG,40.25067
HUF,186.364631
IDR,9339.512468
IEP,0.671605
ILS,3.735432
INR,46.201215
IQD,1153.520846
IRR,9901.672933
ISK,124.693103
JMD,87.566515
JOD,0.708375
JPY,91.664585
KES,75.350229
KGS,44.068567
KHR,4150.138284
KMF,340.650879
KPW,143.084004
KRW,1138.78505
KWD,0.28679
KZT,148.286163
LAK,8479.298781
LBP,1505.528327
LKR,114.309988
LRD,69.002405
LSL,7.278894
LTL,2.390805
LVL,0.488923
LYD,1.234343
MAD,7.847154
MDL,12.199949
MGA,1974.997743
MKD,42.490237
MMK,6.51
MNT,1432.55214
MOP,8.000763
MRO,262.129433
MUR,30.475519
MVR,12.8
MWK,145.027606
MXN,12.807654
MYR,3.386616
MZN,30.849952
NAD,7.320394
NGN,149.3776
NIO,19.31566
NOK,5.696407
NPR,71.976347
NZD,1.359899
OMR,0.384497
PAB,1
PEN,3.004574
PGK,2.687754
PHP,45.905482
PKR,84.757962
PLN,2.833403
PYG,4592.581339
QAR,3.64
RON,2.903328
RSD,66.63693
RUB,29.779722
RWF,571.209946
SAR,3.74988
SBD,7.884553
SCR,10.930184
SDG,2.233997
SEK,7.083932
SGD,1.395524
SHP,0.624472
SLL,3862.567148
SOS,1488.497023
SRD,2.714994
STD,16132.020877
SVC,8.748902
SYP,45.649871
SZL,7.278781
THB,33.147053
TJS,4.371686
TND,1.314396
TOP,1.895819
TRY,1.473793
TTD,6.31525
TWD,31.865677
TZS,1327.496933
UAH,8.037042
UGX,1919.997781
USD,1
UYU,19.549966
UZS,1527.378479
VEF,2.1473
VND,18469.948068
VUV,97.165022
WST,2.480648
XAF,480.150476
XCD,2.605466
XDR,0.63796
XOF,454.350471
XPF,82.926619
YER,205.999762
ZAR,7.294616
ZMK,4657.992574
ZWD,15180.699559
