Code,Rate
AED,3.67275
AFN,47.919941
ALL,102.498816
AMD,381.81549
ANG,1.791
AOA,90.070008
ARS,3.856083
AUD,1.117452
AWG,1.79025
AZN,0.802903
BAM,1.446439
BBD,2
BDT,69.215251
BGN,1.446716
BHD,0.37655
BIF,1131.864672
BMD,1
BND,1.412394
BOB,7.02155
BRL,1.809374
BSD,1
BTN,46.33024
BWP,6.936341
BYR,2922.572901
BZD,1.9875
CAD,1.0449
CDF,902.599793
CHF,1.080876
CLP,532.732735
CNY,6.831821
COP,1931.715607
CRC,553.822358
CVE,81.560766
CZK,19.021279
DJF,177.721
DKK,5.495791
DOP,36.140716
DZD,72.996285
EEK,11.542567
EGP,5.4926
ETB,10.763597
EUR,0.737241
FJD,1.947627
FKP,0.647949
GBP,0.648126
GEL,1.739488
GHS,1.424499
GIP,0.649678
GMD,26.777959
GNF,5050.557627
GTQ,8.181408
GYD,205.745748
HKD,7.766313
HNL,18.92
HRK,5.391034
HTG,40.254435
HUF,200.650785
IDR,9337.955626
IEP,0.690221
ILS,3.767657
INR,46.265848
IQD,1167.72906
IRR,9892.59335
ISK,129.14465
JMD,89.119342
JOD,0.708375
JPY,91.767745
KES,76.879809
KGS,44.74039
KHR,4190.925505
KMF,363.908573
KPW,143.093113
KRW,1156.296062
KWD,0.288784
KZT,147.78947
LAK,8505.83157
LBP,1505.575854
LKR,114.365696
LRD,71.506964
LSL,7.687134
LTL,2.554035
LVL,0.52223
LYD,1.267025
MAD,8.281271
MDL,12.850007
MGA,2164.994149
MKD,45.391227
MMK,6.51
MNT,1442.638716
MOP,8.006138
MRO,259.38777
MUR,30.901495
MVR,12.8
MWK,150.524792
MXN,12.844518
MYR,3.410288
MZN,29.614952
NAD,7.655384
NGN,150.79232
NIO,19.374284
NOK,5.976266
NPR,71.978518
NZD,1.436201
OMR,0.384497
PAB,1
PEN,3.004574
PGK,2.729978
PHP,46.234654
PKR,84.710329
PLN,2.961979
PYG,4692.729636
QAR,3.64
RON,3.053875
RSD,73.067433
RUB,29.958187
RWF,573.277759
SAR,3.7475
SBD,7.606969
SCR,11.408053
SDG,2.227995
SEK,7.26016
SGD,1.413605
SHP,0.647949
SLL,3872.685602
SOS,1500.148007
SRD,2.714999
STD,18040.880502
SVC,8.749703
SYP,45.949928
SZL,7.673801
THB,33.165752
TJS,4.366895
TND,1.399997
TOP,1.928729
TRY,1.523599
TTD,6.26025
TWD,32.094771
TZS,1347.497884
UAH,7.998017
UGX,2012.747666
USD,1
UYU,19.649978
UZS,1546.268215
VEF,4.29465
VND,18454.975294
VUV,97.66245
WST,2.56547
XAF,495.655597
XCD,2.615224
XDR,0.656037
XOF,482.505587
XPF,88.247311
YER,205.749793
ZAR,7.676873
ZMK,4692.497888
ZWD,15180.699632
