Code,Rate
AED,3.67275
AFN,48.610309
ALL,95.91065
AMD,376.936623
ANG,1.791
AOA,89.396164
ARS,3.809336
AUD,1.08919
AWG,1.79025
AZN,0.8
BAM,1.362499
BBD,2
BDT,69.214701
BGN,1.362938
BHD,0.37655
BIF,1143.311305
BMD,1
BND,1.397905
BOB,7.021474
BRL,1.731785
BSD,1
BTN,45.864755
BWP,6.634615
BYR,2863.052568
BZD,1.9875
CAD,1.035052
CDF,890.094488
CHF,1.029805
CLP,497.542085
CNY,6.828094
COP,1972.651377
CRC,560.918803
CVE,76.837631
CZK,18.337646
DJF,177.721
DKK,5.17498
DOP,36.205694
DZD,71.855852
EEK,10.872159
EGP,5.454573
ETB,10.79507
EUR,0.694607
FJD,1.915757
FKP,0.625486
GBP,0.625042
GEL,1.699962
GHS,1.430125
GIP,0.626202
GMD,26.052712
GNF,4988.027701
GTQ,8.334397
GYD,205.243448
HKD,7.754967
HNL,18.9225
HRK,5.078168
HTG,40.254259
HUF,187.136627
IDR,9306.048147
IEP,0.673353
ILS,3.729142
INR,45.769046
IQD,1153.539753
IRR,9896.843938
ISK,125.246232
JMD,87.593243
JOD,0.708375
JPY,92.431732
KES,75.65193
KGS,44.070024
KHR,4157.881178
KMF,342.834843
KPW,143.08913
KRW,1132.381314
KWD,0.286985
KZT,148.185013
LAK,8480.583275
LBP,1504.432512
LKR,114.322589
LRD,69.554798
LSL,7.338906
LTL,2.406132
LVL,0.492092
LYD,1.235687
MAD,7.881671
MDL,12.199979
MGA,1980.002084
MKD,42.762648
MMK,6.51
MNT,1452.601533
MOP,8.000282
MRO,262.134066
MUR,30.351035
MVR,12.8
MWK,145.78002
MXN,12.774852
MYR,3.377738
MZN,29.849998
NAD,7.335406
NGN,149.242721
NIO,19.315098
NOK,5.691687
NPR,71.627515
NZD,1.359882
OMR,0.384497
PAB,1
PEN,3.004574
PGK,2.67821
PHP,45.947401
PKR,84.509171
PLN,2.853868
PYG,4592.658875
QAR,3.64
RON,2.895457
RSD,67.36157
RUB,29.953868
RWF,570.994897
SAR,3.7475
SBD,7.801731
SCR,11.03627
SDG,2.233905
SEK,7.087686
SGD,1.395225
SHP,0.625486
SLL,3830.136948
SOS,1450.102669
SRD,2.715004
STD,16406.836725
SVC,8.749694
SYP,45.500017
SZL,7.3379
THB,33.152046
TJS,4.371489
TND,1.320899
TOP,1.883326
TRY,1.475206
TTD,6.31525
TWD,31.854679
TZS,1333.003861
UAH,8.03
UGX,1919.252425
USD,1
UYU,19.549998
UZS,1530.759582
VEF,2.1473
VND,18470.017003
VUV,97.032639
WST,2.56366
XAF,481.606451
XCD,2.610397
XDR,0.639573
XOF,455.806446
XPF,83.21649
YER,205.874978
ZAR,7.32494
ZMK,4649.50353
ZWD,15180.700127
